platform,celltype,n_marker_genes,marker_genes,cell_class,marker_hits,second_marker_hits,assignment_margin,matched_marker_genes
3-end RNA-seq,8,20,LGALS7B;ADGRL3;TMEM45A;S100A14;CALML3;CSTB;LGALS7;PERP;PTPRF;DSC3;LYPD3;DSG1;CLDN1;DEFB1;CREG1;SUSD4;DSP;S100A16;KRT6B;TXN,Keratinocyte,5,0,5,S100A14;PERP;DSC3;DSG1;DSP
3-end RNA-seq,9,20,MGST1;FASN;FADS2;APOC1;ACSBG1;FDPS;ACSL1;CYB5A;APOE;APMAP;ALOX15B;HMGCS1;SAA1;KRT79;THRSP;MSMO1;AWAT2;TMEM91;BRI3BP;AACS,Sebocyte,12,0,12,MGST1;FASN;FADS2;APOC1;ACSBG1;FDPS;ACSL1;CYB5A;APOE;ALOX15B;HMGCS1;THRSP
Full-length RNA-seq,0,20,LRP1;CCDC80;CFH;LAMA2;BICC1;ABI3BP;ANK2;C3;FBN1;NEGR1;PARD3B;SLIT3;DCLK1;MMP2;FBLN2;SVEP1;C1R;DCN;FBLN1;MEG3,Fibroblast,12,0,12,CCDC80;CFH;LAMA2;ABI3BP;C3;FBN1;SLIT3;DCLK1;MMP2;FBLN2;DCN;MEG3
Full-length RNA-seq,1,20,SHANK3;MCTP1;RALGAPA2;FLT1;PTPRB;ERG;PTPRM;VWF;ADGRL4;TCF4;MECOM;PECAM1;PREX2;MAGI1;PLCB1;CDH5;RAPGEF4;DOCK4;CD93;ARHGAP31,Endothelial,9,0,9,FLT1;PTPRB;ERG;PTPRM;VWF;ADGRL4;PECAM1;MAGI1;CDH5
Full-length RNA-seq,10,20,ROBO2;KIF26B;MXRA5;COL11A1;TNN;EDNRA;TPST1;COL1A2;GLI2;TRPS1;DKK2;COL1A1;ROR2;MEG8;MEG3;COL24A1;TENM3;MEIS2;COL12A1;SLIT3,Fibroblast,5,0,5,COL1A2;COL1A1;ROR2;MEG3;SLIT3
Full-length RNA-seq,11,20,CDH1;FAM160A1;DSP;NEDD4L;DSC3;IRF6;ZBTB7C;ITGB8;SERPINB5;DSG3;LAMB3;KRT14;MT-CO3;NXN;KRT5;MAP7;TNS4;FAM83B;FAT2;LINC00511,Keratinocyte,8,1,7,DSP;DSC3;IRF6;SERPINB5;DSG3;LAMB3;KRT14;KRT5
Full-length RNA-seq,12,20,CD83;MS4A1;FNBP1;BANK1;RAPGEF1;ANKRD44;LYN;PDE4D;SIPA1L1;PLCG2;WDFY4;INPP5D;SWAP70;ATP2B1;CD74;BCL2;FAM49A;HLA-DRB1;BLK;TRAF3,B cell,9,4,5,CD83;MS4A1;BANK1;LYN;SWAP70;CD74;BCL2;HLA-DRB1;BLK
Full-length RNA-seq,13,20,IGHG1;FP236383;XBP1;IGKC;ANKRD28;UBC;HERPUD1;HSP90B1;HSPA1B;ST6GAL1;TENT5C;PLCG2;VOPP1;IRF4;AC007384;HSPA1A;TPD52;IGHG4;JUN;POU2AF1,Plasma cell,9,3,6,IGHG1;XBP1;IGKC;HERPUD1;ST6GAL1;TENT5C;IRF4;IGHG4;POU2AF1
Full-length RNA-seq,14,20,HDC;SLC24A3;KIT;TNIK;FER;DIP2C;ARHGAP18;PRKX;ABCC4;PRKCA;IL1RL1;ENPP3;JARID2;ACSL4;CACNA1H;SH3KBP1;IL18R1;PAG1;DOCK10;ATP8B4,Mast cell,5,1,4,HDC;SLC24A3;KIT;IL1RL1;IL18R1
Full-length RNA-seq,15,20,SHANK2;COBL;SHROOM3;MYO5B;NEBL;ITPR2;NEDD4L;ESRRG;KRT7;PATJ;ARHGEF28;WWC1;ARHGEF38;MAGI1;FAM160A1;RBM47;PDE4B;PTPRF;ACSL1;HOMER2,Adnexal epithelial,2,1,1,ESRRG;KRT7
